din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 21:00:00;NE;NORDESTE;SE;SUDESTE;-2753.023
2024-01-01 21:00:00;SE;SUDESTE;S;SUL;-3807.804
2024-01-01 22:00:00;N;NORTE;NE;NORDESTE;2880.939
2024-01-01 22:00:00;N;NORTE;SE;SUDESTE;-3960.874
2024-01-01 22:00:00;NE;NORDESTE;SE;SUDESTE;-2733.701
2024-01-01 22:00:00;SE;SUDESTE;S;SUL;-4318.103
2024-01-01 23:00:00;N;NORTE;NE;NORDESTE;2783.933
2024-01-01 23:00:00;N;NORTE;SE;SUDESTE;-4065.92
2024-01-01 23:00:00;NE;NORDESTE;SE;SUDESTE;-2795.449
2024-01-01 23:00:00;SE;SUDESTE;S;SUL;-4917.167
2024-01-02 00:00:00;N;NORTE;NE;NORDESTE;2739.217
2024-01-02 00:00:00;N;NORTE;SE;SUDESTE;-4459.185
2024-01-02 00:00:00;NE;NORDESTE;SE;SUDESTE;-2707.039
2024-01-02 00:00:00;SE;SUDESTE;S;SUL;-4904.352
2024-01-02 01:00:00;N;NORTE;NE;NORDESTE;2886.896
2024-01-02 01:00:00;N;NORTE;SE;SUDESTE;-4488.799
2024-01-02 01:00:00;NE;NORDESTE;SE;SUDESTE;-2652.73
2024-01-02 01:00:00;SE;SUDESTE;S;SUL;-4284.442
2024-01-02 02:00:00;N;NORTE;NE;NORDESTE;2986.456
2024-01-02 02:00:00;N;NORTE;SE;SUDESTE;-4471.542
2024-01-02 02:00:00;NE;NORDESTE;SE;SUDESTE;-2908.152
2024-01-02 02:00:00;SE;SUDESTE;S;SUL;-4750.376
2024-01-02 03:00:00;N;NORTE;NE;NORDESTE;2909.838
2024-01-02 03:00:00;N;NORTE;SE;SUDESTE;-4394.576
2024-01-02 03:00:00;NE;NORDESTE;SE;SUDESTE;-2784.827
2024-01-02 03:00:00;SE;SUDESTE;S;SUL;-5247.643
2024-01-02 04:00:00;N;NORTE;NE;NORDESTE;2972.859
2024-01-02 04:00:00;N;NORTE;SE;SUDESTE;-4395.48899999
2024-01-02 04:00:00;NE;NORDESTE;SE;SUDESTE;-2731.244
2024-01-02 04:00:00;SE;SUDESTE;S;SUL;-5313.611
2024-01-02 05:00:00;N;NORTE;NE;NORDESTE;2810.245
2024-01-02 05:00:00;N;NORTE;SE;SUDESTE;-4221.30599999
2024-01-02 05:00:00;NE;NORDESTE;SE;SUDESTE;-2473.014
2024-01-02 05:00:00;SE;SUDESTE;S;SUL;-5254.588
2024-01-02 06:00:00;N;NORTE;NE;NORDESTE;2048.129
2024-01-02 06:00:00;N;NORTE;SE;SUDESTE;-3711.906
2024-01-02 06:00:00;NE;NORDESTE;SE;SUDESTE;-1882.302
2024-01-02 06:00:00;SE;SUDESTE;S;SUL;-5591.144
2024-01-02 07:00:00;N;NORTE;NE;NORDESTE;1239.49399999
2024-01-02 07:00:00;N;NORTE;SE;SUDESTE;-2922.487
2024-01-02 07:00:00;NE;NORDESTE;SE;SUDESTE;-1685.777
2024-01-02 07:00:00;SE;SUDESTE;S;SUL;-5263.08
2024-01-02 08:00:00;N;NORTE;NE;NORDESTE;1161.39799999
2024-01-02 08:00:00;N;NORTE;SE;SUDESTE;-2800.424
2024-01-02 08:00:00;NE;NORDESTE;SE;SUDESTE;-1998.608
2024-01-02 08:00:00;SE;SUDESTE;S;SUL;-4984.018
2024-01-02 09:00:00;N;NORTE;NE;NORDESTE;1021.499
2024-01-02 09:00:00;N;NORTE;SE;SUDESTE;-2641.969
2024-01-02 09:00:00;NE;NORDESTE;SE;SUDESTE;-1906.808
2024-01-02 09:00:00;SE;SUDESTE;S;SUL;-4658.192
2024-01-02 10:00:00;N;NORTE;NE;NORDESTE;886.921
2024-01-02 10:00:00;N;NORTE;SE;SUDESTE;-2423.60399999
2024-01-02 10:00:00;NE;NORDESTE;SE;SUDESTE;-1666.645
2024-01-02 10:00:00;SE;SUDESTE;S;SUL;-4498.267
2024-01-02 11:00:00;N;NORTE;NE;NORDESTE;720.821
2024-01-02 11:00:00;N;NORTE;SE;SUDESTE;-2196.473
2024-01-02 11:00:00;NE;NORDESTE;SE;SUDESTE;-1451.553
2024-01-02 11:00:00;SE;SUDESTE;S;SUL;-4025.47
2024-01-02 12:00:00;N;NORTE;NE;NORDESTE;388.358
2024-01-02 12:00:00;N;NORTE;SE;SUDESTE;-1833.801
2024-01-02 12:00:00;NE;NORDESTE;SE;SUDESTE;-912.465
2024-01-02 12:00:00;SE;SUDESTE;S;SUL;-4171.35999999
2024-01-02 13:00:00;N;NORTE;NE;NORDESTE;554.376
2024-01-02 13:00:00;N;NORTE;SE;SUDESTE;-1723.372
2024-01-02 13:00:00;NE;NORDESTE;SE;SUDESTE;-996.651
2024-01-02 13:00:00;SE;SUDESTE;S;SUL;-4278.84599999
2024-01-02 14:00:00;N;NORTE;NE;NORDESTE;1035.352
2024-01-02 14:00:00;N;NORTE;SE;SUDESTE;-1491.416
