din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-25;N;NORTE;SE;SUDESTE;-44358.40399997
2024-01-25;NE;NORDESTE;SE;SUDESTE;-26023.395
2024-01-25;SE;SUDESTE;S;SUL;-86424.01199999
2024-01-26;N;NORTE;NE;NORDESTE;18325.205999949998
2024-01-26;N;NORTE;SE;SUDESTE;-21896.129000020002
2024-01-26;NE;NORDESTE;SE;SUDESTE;6758.22499999
2024-01-26;SE;SUDESTE;S;SUL;-61610.05899995
2024-01-27;N;NORTE;NE;NORDESTE;311.94099998
2024-01-27;N;NORTE;SE;SUDESTE;-3962.2539999899996
2024-01-27;NE;NORDESTE;SE;SUDESTE;25799.08
2024-01-27;SE;SUDESTE;S;SUL;-37638.044999980004
2024-01-28;N;NORTE;NE;NORDESTE;-1661.6550000199995
2024-01-28;N;NORTE;SE;SUDESTE;11176.62100001
2024-01-28;NE;NORDESTE;SE;SUDESTE;31997.075
2024-01-28;SE;SUDESTE;S;SUL;-38470.55
2024-01-29;N;NORTE;NE;NORDESTE;-10094.35899998
2024-01-29;N;NORTE;SE;SUDESTE;53012.36599999
2024-01-29;NE;NORDESTE;SE;SUDESTE;40425.762
2024-01-29;SE;SUDESTE;S;SUL;-11538.47699999
2024-01-30;N;NORTE;NE;NORDESTE;15818.55799999
2024-01-30;N;NORTE;SE;SUDESTE;45255.31599997
2024-01-30;NE;NORDESTE;SE;SUDESTE;36299.68599997
2024-01-30;SE;SUDESTE;S;SUL;-2871.1879999999996
2024-01-31;N;NORTE;NE;NORDESTE;480.99500001
2024-01-31;N;NORTE;SE;SUDESTE;60392.72899999
2024-01-31;NE;NORDESTE;SE;SUDESTE;63054.28699999
2024-01-31;SE;SUDESTE;S;SUL;23696.33499998
2024-02-01;N;NORTE;NE;NORDESTE;-41705.60099999
2024-02-01;N;NORTE;SE;SUDESTE;92155.48399996
2024-02-01;NE;NORDESTE;SE;SUDESTE;96876.60199997001
2024-02-01;SE;SUDESTE;S;SUL;98471.54499997
2024-02-02;N;NORTE;NE;NORDESTE;-45702.70399995
2024-02-02;N;NORTE;SE;SUDESTE;109244.84999997
2024-02-02;NE;NORDESTE;SE;SUDESTE;91924.70299999
2024-02-02;SE;SUDESTE;S;SUL;58011.827999990004
2024-02-03;N;NORTE;NE;NORDESTE;-45824.97399999
2024-02-03;N;NORTE;SE;SUDESTE;127463.43499998
2024-02-03;NE;NORDESTE;SE;SUDESTE;97538.56599997
2024-02-03;SE;SUDESTE;S;SUL;72318.28099996
2024-02-04;N;NORTE;NE;NORDESTE;-61412.53199998
2024-02-04;N;NORTE;SE;SUDESTE;130915.75799997
2024-02-04;NE;NORDESTE;SE;SUDESTE;108741.88599996
2024-02-04;SE;SUDESTE;S;SUL;81588.93899996
2024-02-05;N;NORTE;NE;NORDESTE;-54449.85699994
2024-02-05;N;NORTE;SE;SUDESTE;166004.25299997
2024-02-05;NE;NORDESTE;SE;SUDESTE;113702.20299994
2024-02-05;SE;SUDESTE;S;SUL;74545.74099995
2024-02-06;N;NORTE;NE;NORDESTE;-13054.85199997
2024-02-06;N;NORTE;SE;SUDESTE;165143.70699999
2024-02-06;NE;NORDESTE;SE;SUDESTE;93614.14699998
2024-02-06;SE;SUDESTE;S;SUL;56854.711
2024-02-07;N;NORTE;NE;NORDESTE;8445.46399997
2024-02-07;N;NORTE;SE;SUDESTE;181285.03699997
2024-02-07;NE;NORDESTE;SE;SUDESTE;77400.70699998
2024-02-07;SE;SUDESTE;S;SUL;75861.89199994999
2024-02-08;N;NORTE;NE;NORDESTE;27236.44599998
2024-02-08;N;NORTE;SE;SUDESTE;154403.85899996
2024-02-08;NE;NORDESTE;SE;SUDESTE;61439.55499998
2024-02-08;SE;SUDESTE;S;SUL;65243.816999970004
2024-02-09;N;NORTE;NE;NORDESTE;32108.23
2024-02-09;N;NORTE;SE;SUDESTE;162032.48299994
2024-02-09;NE;NORDESTE;SE;SUDESTE;59874.34999998
2024-02-09;SE;SUDESTE;S;SUL;60974.49799999
2024-02-10;N;NORTE;NE;NORDESTE;7311.905
2024-02-10;N;NORTE;SE;SUDESTE;154111.01799997
2024-02-10;NE;NORDESTE;SE;SUDESTE;73910.16799998
2024-02-10;SE;SUDESTE;S;SUL;59182.378999990004
2024-02-11;N;NORTE;NE;NORDESTE;-41404.26599998
2024-02-11;N;NORTE;SE;SUDESTE;161054.32699995
2024-02-11;NE;NORDESTE;SE;SUDESTE;105630.49499997
2024-02-11;SE;SUDESTE;S;SUL;72203.59399997
2024-02-12;N;NORTE;NE;NORDESTE;-64776.96699997
2024-02-12;N;NORTE;SE;SUDESTE;206969.60799995
2024-02-12;NE;NORDESTE;SE;SUDESTE;109866.67199995
2024-02-12;SE;SUDESTE;S;SUL;86769.735
2024-02-13;N;NORTE;NE;NORDESTE;-25103.94799998
2024-02-13;N;NORTE;SE;SUDESTE;177037.40799998
2024-02-13;NE;NORDESTE;SE;SUDESTE;93811.19799999
2024-02-13;SE;SUDESTE;S;SUL;64822.20500001
2024-02-14;N;NORTE;NE;NORDESTE;41086.30199997
2024-02-14;N;NORTE;SE;SUDESTE;129845.19899998
2024-02-14;NE;NORDESTE;SE;SUDESTE;41628.42299999
2024-02-14;SE;SUDESTE;S;SUL;-2295.0210000099996
2024-02-15;N;NORTE;NE;NORDESTE;63710.28999998
2024-02-15;N;NORTE;SE;SUDESTE;111004.61499998
2024-02-15;NE;NORDESTE;SE;SUDESTE;16277.02999999
2024-02-15;SE;SUDESTE;S;SUL;-34777.764
2024-02-16;N;NORTE;NE;NORDESTE;54749.95599998
2024-02-16;N;NORTE;SE;SUDESTE;110803.17799998
2024-02-16;NE;NORDESTE;SE;SUDESTE;21903.96400001
2024-02-16;SE;SUDESTE;S;SUL;-22549.41999999
2024-02-17;N;NORTE;NE;NORDESTE;51173.24099998
2024-02-17;N;NORTE;SE;SUDESTE;71512.91899997
2024-02-17;NE;NORDESTE;SE;SUDESTE;10411.817000000001
2024-02-17;SE;SUDESTE;S;SUL;-11022.34399999
2024-02-18;N;NORTE;NE;NORDESTE;43931.83699994
2024-02-18;N;NORTE;SE;SUDESTE;60229.37499999
2024-02-18;NE;NORDESTE;SE;SUDESTE;15352.44199997
2024-02-18;SE;SUDESTE;S;SUL;17296.56200001
2024-02-19;N;NORTE;NE;NORDESTE;68788.194
2024-02-19;N;NORTE;SE;SUDESTE;125147.86099998
2024-02-19;NE;NORDESTE;SE;SUDESTE;5291.34
2024-02-19;SE;SUDESTE;S;SUL;14552.38899999
2024-02-20;N;NORTE;NE;NORDESTE;102586.02999998
2024-02-20;N;NORTE;SE;SUDESTE;107775.19999998
2024-02-20;NE;NORDESTE;SE;SUDESTE;-12023.94699999
2024-02-20;SE;SUDESTE;S;SUL;-8949.90799999
2024-02-21;N;NORTE;NE;NORDESTE;91805.05799996
2024-02-21;N;NORTE;SE;SUDESTE;101540.67399998
2024-02-21;NE;NORDESTE;SE;SUDESTE;-9451.714
2024-02-21;SE;SUDESTE;S;SUL;4132.26999999
2024-02-22;N;NORTE;NE;NORDESTE;88291.52599995
2024-02-22;N;NORTE;SE;SUDESTE;53547.87599997
2024-02-22;NE;NORDESTE;SE;SUDESTE;-9208.44899998
2024-02-22;SE;SUDESTE;S;SUL;4930.301000009999
2024-02-23;N;NORTE;NE;NORDESTE;68738.37399999
2024-02-23;N;NORTE;SE;SUDESTE;70637.72199997
2024-02-23;NE;NORDESTE;SE;SUDESTE;23306.94799998
2024-02-23;SE;SUDESTE;S;SUL;5862.68400001
2024-02-24;N;NORTE;NE;NORDESTE;-30439.936
